TimeStamp,Elapsed,MCP9808Temp,SHT31Temp,Humidity,Lux,Lights,Time_in_hours,R,G,B,W,Heater
2017-03-01 10:26:40,9.165869818793402e-08,24.5625,24.554055085069052,45.29945830472267,783,"on, main",10.444444444444445,0,200,200,0,True
2017-03-01 10:26:50,0.0027791782882478503,24.5,24.56740672922865,45.3482871747921,769,"on, main",10.447222222222223,0,200,200,0,True
2017-03-01 10:27:00,0.005559543304973179,24.5,24.580758373388264,44.663157091630424,781,"on, main",10.45,0,200,200,0,True
2017-03-01 10:27:10,0.008337481617927552,24.5,24.580758373388264,44.06347753109026,782,"on, main",10.452777777777778,0,200,200,0,True
2017-03-01 10:27:20,1.1079841189914279e-07,24.5,24.594110017547877,44.63111314564736,782,"on, main",10.455555555555556,200,200,200,0,True
2017-03-01 10:27:30,0.0027796433369318644,24.5625,24.594110017547877,45.51766231784543,781,"on, main",10.458333333333332,200,200,200,0,True
2017-03-01 10:27:40,0.0055600372287962175,24.5,24.623483634699014,44.22369726100557,780,"on, main",10.46111111111111,200,200,200,0,True
2017-03-01 10:27:50,0.008340474433369107,24.5625,24.594110017547877,43.97192339971008,735,"on, main",10.463888888888889,200,200,200,0,True
2017-03-01 10:28:00,0.01112090249856313,24.5625,24.6101319905394,43.93835355153735,776,"on, main",10.466666666666667,200,200,200,0,True
2017-03-01 10:28:10,0.013901329967710707,24.5,24.594110017547877,43.88799877927825,781,"on, main",10.469444444444445,200,200,200,0,True
2017-03-01 10:28:20,0.016681760549545288,24.5,24.6101319905394,43.736934462500955,781,"on, main",10.472222222222223,200,200,200,0,True
2017-03-01 10:28:30,1.211298836602105e-07,24.5,24.6101319905394,43.87884336614023,780,"on, main",10.475,0,200,200,0,True
2017-03-01 10:28:40,0.0027796269125408596,24.5625,24.623483634699014,44.327458609903104,775,"on, main",10.477777777777778,0,200,200,0,True
2017-03-01 10:28:50,0.005559769736395942,24.5625,24.6101319905394,43.80712596322576,782,"on, main",10.480555555555556,0,200,200,0,True
2017-03-01 10:29:00,0.008339396913846334,24.5625,24.6101319905394,43.79644464789807,774,"on, main",10.483333333333333,0,200,200,0,True
2017-03-01 10:29:10,0.011119673053423564,24.5625,24.636835278858626,43.903257801174945,782,"on, main",10.48611111111111,0,200,200,0,True
2017-03-01 10:29:20,0.01389761467774709,24.5625,24.636835278858626,44.530403601129166,782,"on, main",10.488888888888889,0,200,200,0,True
